Sn,System,Sub System,Project Number,Sub Contract,Building Number,Floor,Drawing Zone,Discipline,Sub Discipline,Drawing Stage,DN,Column1,Title,21,Review Time Days,Review Time Overdue,25,S_Date,27,28,C_Date,292,Drawing Submission Status,By2,Aref_0,Asub_0,Asub_02,Asub_03,Jvref_0,Jvc_0,Jvcd_0,Cmac_0,Aref_1,Asub_1,Jvref_1,Jvc_1,Jvcd_1,Cmac_1,Aref_2,Asub_2,Jvref_2,Jvc_2,Jvcd_2,Cmac_2,Aref_3,Asub_3,Jvref_3,Jvc_3,Jvcd_3,Cmac_3,Aref_4,Asub_4,Jvref_4,Jvc_4,Jvcd_4,Cmac_4,Aref_5,Asub_5,Jvref_5,Jvc_5,Jvcd_5,Cmac_5,Aref_6,Asub_6,Jvref_6,Jvc_6,Jvcd_6,Cmac_6,Aref_7,Asub_7,Jvref_7,Jvc_7,Jvcd_7,Cmac_7
1,ICT,CONTAINMENT SYSTEM,1300403,ATS,B02,GF,0.0,ICT,CNT,SD,0,1300403-ATS-B02-GF-00-ICT-CNT-SD-00,Ground Floor Contaiment Overall Plan,2025-05-25,,,0.0,1970-01-01 00:00:00.000045805,ATLS-004-SD-ICT-00009-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00009-R00,2025-05-28,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
2,ICT,CONTAINMENT SYSTEM,1300403,ATS,B02,GF,1.0,ICT,CNT,SD,0,1300403-ATS-B02-GF-01-ICT-CNT-SD-00,Ground Floor Contaiment  Plan Part 01,2025-05-25,,,0.0,1970-01-01 00:00:00.000045805,ATLS-004-SD-ICT-00009-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00009-R00,2025-05-28,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
3,ICT,CONTAINMENT SYSTEM,1300403,ATS,B02,GF,2.0,ICT,CNT,SD,0,1300403-ATS-B02-GF-02-ICT-CNT-SD-00,Ground Floor Contaiment  Plan Part 02,2025-05-25,,,0.0,1970-01-01 00:00:00.000045805,ATLS-004-SD-ICT-00009-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00009-R00,2025-05-28,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
4,ICT,CONTAINMENT SYSTEM,1300403,ATS,B02,GF,3.0,ICT,CNT,SD,0,1300403-ATS-B02-GF-03-ICT-CNT-SD-00,Ground Floor Contaiment  Plan Part 03,2025-05-25,,,0.0,1970-01-01 00:00:00.000045805,ATLS-004-SD-ICT-00009-R00,AR (ATJV),,,SUBMITTED,,ATLS-004-SD-ICT-00009-R00,2025-05-28,,,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
5,ICT,CONTAINMENT SYSTEM,1300403,ATS,B01,GF,1.0,ICT,CNT,SD,0,1300403-ATS-B01-GF-01-ICT-CNT-SD-00,Ground Floor Contaiment   Plan Part-01,2025-05-16,1970-01-01 00:00:00.000000006,,0.0,1970-01-01 00:00:00.000045797,ATLS-004-SD-ICT-00005-R00,Code 2,2025-05-26,ATV-1300000403-SDS-ICT-00008-R00,SUBMITTED,,ATLS-004-SD-ICT-00005-R00,2025-05-20,,2025-05-24,ATV-1300000403-SDS-ICT-00008-R00,Code 2,2025-05-26,Code 2,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
6,ICT,CONTAINMENT SYSTEM,1300403,ATS,B01,GF,2.0,ICT,CNT,SD,0,1300403-ATS-B01-GF-02-ICT-CNT-SD-00,Ground Floor Contaiment   Plan Part-02,2025-05-16,1970-01-01 00:00:00.000000006,,0.0,1970-01-01 00:00:00.000045797,ATLS-004-SD-ICT-00005-R00,Code 2,2025-05-26,ATV-1300000403-SDS-ICT-00008-R00,SUBMITTED,,ATLS-004-SD-ICT-00005-R00,2025-05-20,,2025-05-24,ATV-1300000403-SDS-ICT-00008-R00,Code 2,2025-05-26,Code 2,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
7,ICT,CONTAINMENT SYSTEM,1300403,ATS,B01,GF,3.0,ICT,CNT,SD,0,1300403-ATS-B01-GF-03-ICT-CNT-SD-00,Ground Floor Contaiment   Plan Part-03,2025-05-16,1970-01-01 00:00:00.000000006,,0.0,1970-01-01 00:00:00.000045797,ATLS-004-SD-ICT-00005-R00,Code 2,2025-05-26,ATV-1300000403-SDS-ICT-00008-R00,SUBMITTED,,ATLS-004-SD-ICT-00005-R00,2025-05-20,,2025-05-24,ATV-1300000403-SDS-ICT-00008-R00,Code 2,2025-05-26,Code 2,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
8,ICT,CONTAINMENT SYSTEM,1300403,ATS,B01,GF,4.0,ICT,CNT,SD,0,1300403-ATS-B01-GF-04-ICT-CNT-SD-00,Ground Floor Contaiment   Plan Part-04,2025-05-16,1970-01-01 00:00:00.000000006,,0.0,1970-01-01 00:00:00.000045797,ATLS-004-SD-ICT-00005-R00,Code 2,2025-05-26,ATV-1300000403-SDS-ICT-00008-R00,SUBMITTED,,ATLS-004-SD-ICT-00005-R00,2025-05-20,,2025-05-24,ATV-1300000403-SDS-ICT-00008-R00,Code 2,2025-05-26,Code 2,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
9,ICT,CONTAINMENT SYSTEM,1300403,ATS,B01,GF,8.0,ICT,CNT,SD,0,1300403-ATS-B01-GF-08-ICT-CNT-SD-00,Ground Floor Contaiment   Plan Part-08,2025-05-16,1970-01-01 00:00:00.000000006,,0.0,1970-01-01 00:00:00.000045797,ATLS-004-SD-ICT-00005-R00,Code 2,2025-05-26,ATV-1300000403-SDS-ICT-00008-R00,SUBMITTED,,ATLS-004-SD-ICT-00005-R00,2025-05-20,,2025-05-24,ATV-1300000403-SDS-ICT-00008-R00,Code 2,2025-05-26,Code 2,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
10,ICT,CONTAINMENT SYSTEM,1300403,ATS,B01,GF,12.0,ICT,CNT,SD,0,1300403-ATS-B01-GF-12-ICT-CNT-SD-00,Ground Floor Contaiment   Plan Part-12,2025-05-16,1970-01-01 00:00:00.000000006,,0.0,1970-01-01 00:00:00.000045797,ATLS-004-SD-ICT-00005-R00,Code 2,2025-05-26,ATV-1300000403-SDS-ICT-00008-R00,SUBMITTED,,ATLS-004-SD-ICT-00005-R00,2025-05-20,,2025-05-24,ATV-1300000403-SDS-ICT-00008-R00,Code 2,2025-05-26,Code 2,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
11,ICT,ICT TECHNICAL ROOMS,1300403,ATS,B07,00,0.0,ICT,ENL,SD,0,1300403-ATS-B07-00-00-ICT-ENL-SD-00,Ict Technical Rooms Enlarged Plans,2025-06-11,,,,,,Code 2,,,SUBMITTED,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
12,ICT,FIRE ALARM SYSTEM,1300403,ATS,B07,GF,0.0,ICT,FAS,SD,0,1300403-ATS-B07-GF-00-ICT-FAS-SD-00,Ground Floor Fire Alarm System Plan,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
13,ICT,DATA NETWORK SYSTEM,1300403,ATS,B07,GF,0.0,ICT,DAT,SD,0,1300403-ATS-B07-GF-00-ICT-DAT-SD-00,Ground Floor Data Network Plan,2025-05-30,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
14,ICT,IP TELEPHONE SYSTEM,1300403,ATS,B07,GF,0.0,ICT,TEL,SD,0,1300403-ATS-B07-GF-00-ICT-TEL-SD-00,Ground Floor Ip Telephone System Plan,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
15,ICT,VIDEO SURVELLIANCE SYSTEM,1300403,ATS,B07,GF,0.0,ICT,SEC,SD,0,1300403-ATS-B07-GF-00-ICT-SEC-SD-00,Ground Floor Ip Cctv Systems Plan,2025-05-30,1970-01-01 00:00:00.000000003,,0.0,1970-01-01 00:00:00.000045806,ATLS-004-SD-ICT-00016-R00,Code 2,2025-06-01,ATV-1300000403-SDS-ICT-00011-R00,SUBMITTED,,ATLS-004-SD-ICT-00016-R00,2025-05-29,,2025-05-31,ATV-1300000403-SDS-ICT-00011-R00,Code 2,2025-06-01,Code 2,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
16,ICT,ACCESS CONTROL SYSTEM,1300403,ATS,B07,GF,0.0,ICT,ACS,SD,0,1300403-ATS-B07-GF-00-ICT-ACS-SD-00,Ground Floor Access Control System Plan,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
17,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B07,GF,0.0,ICT,COM,SD,0,1300403-ATS-B07-GF-00-ICT-COM-SD-00,Ground Floor Communication Equipment Plan,,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
18,ICT,SINGLE LINE DIAGRAM,1300403,ATS,B07,00,0.0,ICT,SLD,SD,0,1300403-ATS-B07-00-00-ICT-SLD-SD-00,Low Current Systems Single Line Diagram,2025-06-25,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
19,ICT,SINGLE LINE DIAGRAM,1300403,ATS,B07,00,0.0,ICT,SLD,SD,1,1300403-ATS-B07-00-00-ICT-SLD-SD-01,Ip Cctv & Access Control Single Line Diagram,2025-06-25,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
20,ICT,ICT TECHNICAL ROOMS,1300403,ATS,B06,00,0.0,ICT,ENL,SD,0,1300403-ATS-B06-00-00-ICT-ENL-SD-00,Ict Technical Rooms Enlarged Plans,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
21,ICT,FIRE ALARM SYSTEM,1300403,ATS,B06,GF,0.0,ICT,FAS,SD,0,1300403-ATS-B06-GF-00-ICT-FAS-SD-00,Ground And Roof Top Floor Fire Alarm System Plan,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
22,ICT,DATA NETWORK SYSTEM,1300403,ATS,B06,GF,0.0,ICT,DAT,SD,0,1300403-ATS-B06-GF-00-ICT-DAT-SD-00,Ground Floor Data Network System Plan,2025-05-30,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
23,ICT,IP TELEPHONE SYSTEM,1300403,ATS,B06,GF,0.0,ICT,TEL,SD,0,1300403-ATS-B06-GF-00-ICT-TEL-SD-00,Ground Floor Ip Telephone System Plan,2025-06-11,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
24,ICT,VIDEO SURVELLIANCE SYSTEM,1300403,ATS,B06,GF,0.0,ICT,SEC,SD,0,1300403-ATS-B06-GF-00-ICT-SEC-SD-00,Ground Floor Ip Cctv System Plan,2025-05-30,1970-01-01 00:00:00.000000003,,0.0,1970-01-01 00:00:00.000045806,ATLS-004-SD-ICT-00016-R00,Code 2,2025-06-01,ATV-1300000403-SDS-ICT-00011-R00,SUBMITTED,,ATLS-004-SD-ICT-00016-R00,2025-05-29,,2025-05-31,ATV-1300000403-SDS-ICT-00011-R00,Code 2,2025-06-01,Code 2,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
25,ICT,ACCESS CONTROL SYSTEM,1300403,ATS,B06,GF,0.0,ICT,ACS,SD,0,1300403-ATS-B06-GF-00-ICT-ACS-SD-00,Ground Floor Access Control System Plan,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
26,ICT,MASTER CLOCK SYSTEM,1300403,ATS,B06,GF,0.0,ICT,MCK,SD,0,1300403-ATS-B06-GF-00-ICT-MCK-SD-00,Ground Floor Ip Master Clock System Plan,2025-06-02,1970-01-01 00:00:00.000000007,,0.0,1970-01-01 00:00:00.000045810,ATLS-004-SD-ICT-00030-R00,UR (DAR),,,SUBMITTED,,ATLS-004-SD-ICT-00030-R00,2025-06-02,,2025-06-02,,---,,UR (DAR),,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
27,ICT,COMMUNICATION EQUIPMENT SYSTEM,1300403,ATS,B06,GF,0.0,ICT,COM,SD,0,1300403-ATS-B06-GF-00-ICT-COM-SD-00,Ground Floor Communication Equipment Plan,,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
28,ICT,SINGLE LINE DIAGRAM,1300403,ATS,B06,00,0.0,ICT,SLD,SD,0,1300403-ATS-B06-00-00-ICT-SLD-SD-00,Low Current Systems Single Line Diagram,2025-06-25,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
29,ICT,SINGLE LINE DIAGRAM,1300403,ATS,B06,00,0.0,ICT,SLD,SD,1,1300403-ATS-B06-00-00-ICT-SLD-SD-01,"Ip Cctv , Access Control & Ip Master Clock Single-Line Diagram",2025-06-25,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
30,ICT,ICT TECHNICAL ROOMS,1300403,ATS,B05,00,0.0,ICT,ENL,SD,0,1300403-ATS-B05-00-00-ICT-ENL-SD-00,Ict Technical Rooms Enlarged Plans,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
31,ICT,FIRE ALARM SYSTEM,1300403,ATS,B05,LF,0.0,ICT,FAS,SD,0,1300403-ATS-B05-LF-00-ICT-FAS-SD-00,Lower Floor Fire Overall Plan At Level -1.5 And Level -5.0M Fire Alarm System Plan,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
32,ICT,FIRE ALARM SYSTEM,1300403,ATS,B05,LF,1.0,ICT,FAS,SD,0,1300403-ATS-B05-LF-01-ICT-FAS-SD-00,Lower Floor Fire At Level -1.5 And Level -5.0M Fire Alarm System Plan Part-01,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
33,ICT,FIRE ALARM SYSTEM,1300403,ATS,B05,LF,2.0,ICT,FAS,SD,0,1300403-ATS-B05-LF-02-ICT-FAS-SD-00,Lower Floor Fire At Level -1.5 And Level -5.0M Fire Alarm System Plan Part-02,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
34,ICT,FIRE ALARM SYSTEM,1300403,ATS,B05,LF,3.0,ICT,FAS,SD,0,1300403-ATS-B05-LF-03-ICT-FAS-SD-00,Lower Floor Fire At Level -1.5 And Level -5.0M Fire Alarm System Plan Part-03,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
35,ICT,FIRE ALARM SYSTEM,1300403,ATS,B05,LF,4.0,ICT,FAS,SD,0,1300403-ATS-B05-LF-04-ICT-FAS-SD-00,Lower Floor Fire At Level -1.5 And Level -5.0M Fire Alarm System Plan Part-04,2025-05-26,,,,,,---,,,PENDING,,,,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
36,ICT,ACCESS CONTROL SYSTEM,1300403,ATS,B05,LF,0.0,ICT,ACS,SD,0,1300403-ATS-B05-LF-00-ICT-ACS-SD-00,Lower Floor Overall Plan At Level -1.5 And Level -5.0M Access Control System Plan,,1969-12-31 23:59:59.999999999,,1.0,1970-01-01 00:00:00.000045811,ATLS-004-SD-ICT-00014-R01,AR (ATJV),2025-06-02,ATV-1300000403-SDS-ICT-00016-R00,SUBMITTED,,ATLS-004-SD-ICT-00014-R00,2025-05-30,,2025-06-01,ATV-1300000403-SDS-ICT-00016-R00,Code 3,2025-06-02,Code 3,ATLS-004-SD-ICT-00014-R01,2025-06-03,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
37,ICT,ACCESS CONTROL SYSTEM,1300403,ATS,B05,LF,1.0,ICT,ACS,SD,0,1300403-ATS-B05-LF-01-ICT-ACS-SD-00,Lower Floor Plan At Level -1.5 And Level -5.0M Access Control System Plan Part-01,,1969-12-31 23:59:59.999999999,,1.0,1970-01-01 00:00:00.000045811,ATLS-004-SD-ICT-00014-R01,AR (ATJV),2025-06-02,ATV-1300000403-SDS-ICT-00016-R00,SUBMITTED,,ATLS-004-SD-ICT-00014-R00,2025-05-30,,2025-06-01,ATV-1300000403-SDS-ICT-00016-R00,Code 3,2025-06-02,Code 3,ATLS-004-SD-ICT-00014-R01,2025-06-03,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
38,ICT,ACCESS CONTROL SYSTEM,1300403,ATS,B05,LF,2.0,ICT,ACS,SD,0,1300403-ATS-B05-LF-02-ICT-ACS-SD-00,Lower Floor Plan At Level -1.5 And Level -5.0M Access Control System Plan Part-02,,1969-12-31 23:59:59.999999999,,1.0,1970-01-01 00:00:00.000045811,ATLS-004-SD-ICT-00014-R01,AR (ATJV),2025-06-02,ATV-1300000403-SDS-ICT-00016-R00,SUBMITTED,,ATLS-004-SD-ICT-00014-R00,2025-05-30,,2025-06-01,ATV-1300000403-SDS-ICT-00016-R00,Code 3,2025-06-02,Code 3,ATLS-004-SD-ICT-00014-R01,2025-06-03,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
39,ICT,ACCESS CONTROL SYSTEM,1300403,ATS,B05,LF,3.0,ICT,ACS,SD,0,1300403-ATS-B05-LF-03-ICT-ACS-SD-00,Lower Floor Plan At Level -1.5 And Level -5.0M Access Control System Plan Part-03,,1969-12-31 23:59:59.999999999,,1.0,1970-01-01 00:00:00.000045811,ATLS-004-SD-ICT-00014-R01,AR (ATJV),2025-06-02,ATV-1300000403-SDS-ICT-00016-R00,SUBMITTED,,ATLS-004-SD-ICT-00014-R00,2025-05-30,,2025-06-01,ATV-1300000403-SDS-ICT-00016-R00,Code 3,2025-06-02,Code 3,ATLS-004-SD-ICT-00014-R01,2025-06-03,,AR (ATJV),,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---,,,,---,,---
